Ref,Val,Package,PosX,PosY,Rot,Side
"C2","1uF","C_0402_1005Metric",185.410000,-87.500000,180.000000,top
"C3","10uF","C_0603_1608Metric",185.800000,-83.900000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",170.257500,-79.525000,180.000000,top
"C5","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",175.850000,-93.800000,90.000000,top
"C6","1uF","C_0402_1005Metric",185.417500,-85.450000,180.000000,top
"C7","10 µF","C_0603_1608Metric",185.200000,-81.692500,90.000000,top
"C8","0.1uF","C_0402_1005Metric",183.500000,-79.606250,0.000000,top
"C9","0.1uF","C_0402_1005Metric",185.417500,-86.500000,180.000000,top
"C11","1uF","C_0402_1005Metric",183.600000,-92.632500,-90.000000,top
"C12","1uF","C_0402_1005Metric",190.122500,-92.632500,-90.000000,top
"J2","~","PinHeader_1x12_P2.54mm_Vertical",142.150000,-74.430000,0.000000,top
"R1","1k","R_0402_1005Metric",167.800000,-82.100000,0.000000,top
"R2","1k","R_0402_1005Metric",167.800000,-83.100000,0.000000,top
"R3","1k","R_0402_1005Metric",167.800000,-84.100000,0.000000,top
"R4","10k","R_0603_1608Metric",168.018000,-87.197000,180.000000,top
"R5","10k","R_0603_1608Metric",168.034000,-85.425000,180.000000,top
"SW1","SW_Reed_SPDT","SW_SPDT_Shouhan_MSK12C02",147.635000,-98.525000,-90.000000,top
"SW2","SW_Reed_SPDT","SW_SPDT_Shouhan_MSK12C02",154.735000,-98.550000,-90.000000,top
"SW3","SW_Reed_SPDT","SW_SPDT_Shouhan_MSK12C02",161.960000,-98.550000,-90.000000,top
"U1","AD7606BSTZ","AD7606BSTZ",176.900000,-84.900000,0.000000,top
"U2","~","JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal",176.955000,-71.470294,180.000000,top
"U3","~","JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",183.700000,-101.775000,0.000000,top
"U4","~","JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",171.750000,-101.775000,0.000000,top
"U5","~","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",159.980000,-71.570294,180.000000,top
"VR1","TLV70033DDCR","TLV70033DDCR",186.875000,-93.025000,0.000000,top
