Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",150.650000,-97.975000,90.000000,top
"C3","0.1uF","C_0603_1608Metric",152.275000,-88.100000,0.000000,top
"C4","0.1uF","C_0603_1608Metric",159.012500,-88.100000,180.000000,top
"C5","0.1uF","C_0603_1608Metric",155.637500,-88.100000,0.000000,top
"C6","1uF","C_0603_1608Metric",159.300000,-92.325000,180.000000,top
"C7","1uF","C_0603_1608Metric",160.075000,-94.625000,90.000000,top
"C9","1uF","C_0603_1608Metric",157.900000,-96.175000,90.000000,top
"C10","1uF","C_0402_1005Metric",149.025000,-95.775000,0.000000,top
"C11","10uF","C_1206_3216Metric",155.557300,-99.035000,180.000000,top
"C12","100nF","C_0402_1005Metric",146.607500,-114.525000,-90.000000,top
"C13","12pF","C_0603_1608Metric",141.411900,-110.150000,180.000000,top
"C14","12pF","C_0603_1608Metric",141.411900,-112.650000,180.000000,top
"D1","1N4148WT","D_SOD-523",143.115000,-94.800000,-90.000000,top
"D2","BLUE","D_0603_1608Metric",158.394400,-119.370000,0.000000,top
"D3","1N4148WT","D_SOD-523",154.770000,-103.010000,180.000000,top
"D4","1N4148WT","D_SOD-523",151.950000,-101.126250,-90.000000,top
"J1","XT60-M","AMASS_XT60PW-M_1x02_P7.20mm_Horizontal",168.725000,-103.475000,-90.000000,top
"J2","XT60-F","AMASS_XT60PW-F_1x02_P7.20mm_Horizontal",129.960000,-88.890000,90.000000,top
"J4","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",181.925000,-93.150000,90.000000,top
"Q1","BSC014N04LSIATMA1","TRANS_BSC014N04LSIATMA1",138.275000,-82.785000,180.000000,top
"Q2","BSC014N04LSIATMA1","TRANS_BSC014N04LSIATMA1",145.099500,-81.725000,90.000000,top
"R1","5m","R_2512_6332Metric",155.678900,-80.683200,0.000000,top
"R2","100","R_0402_1005Metric",156.125000,-94.300000,0.000000,top
"R3","100","R_0402_1005Metric",156.125000,-93.200000,0.000000,top
"R4","100k","R_0402_1005Metric",144.940000,-91.775000,-90.000000,top
"R5","100","R_0402_1005Metric",155.375000,-96.975000,0.000000,top
"R6","100","R_0402_1005Metric",154.002500,-85.966400,-90.000000,top
"R7","100","R_0402_1005Metric",157.304500,-85.966400,-90.000000,top
"R8","100","R_0402_1005Metric",154.960000,-101.380000,0.000000,top
"R9","1M","R_0603_1608Metric",140.230000,-78.320000,0.000000,top
"R10","1M","R_0603_1608Metric",147.979500,-86.200000,180.000000,top
"R11","120k","R_0402_1005Metric",143.119500,-91.775000,-90.000000,top
"R12","1k","R_0402_1005Metric",162.730000,-120.335000,0.000000,top
"R13","100","R_0402_1005Metric",151.950000,-98.740000,-90.000000,top
"R16","10k","R_0402_1005Metric",160.930000,-118.860000,90.000000,top
"R17","4.7k","R_0402_1005Metric",149.787500,-109.950000,180.000000,top
"R18","4.7k","R_0402_1005Metric",153.937500,-109.950000,0.000000,top
"R19","4.7k","R_0402_1005Metric",159.430000,-115.380000,180.000000,top
"SW1","CK_KMS2xxG","SW_SPST_CK_KMS2xxG",139.975000,-93.450000,90.000000,top
"SW2","CK_KMS2xxG","SW_SPST_CK_KMS2xxG",142.325000,-117.112500,0.000000,top
"SW4","CK_KMS2xxG","SW_SPST_CK_KMS2xxG",165.672000,-117.729000,180.000000,top
"U2","BQ76905RGRR","BQ76905RGRR",152.850000,-94.200000,180.000000,top
"U3","JST-GH","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",125.000000,-106.950000,-90.000000,top
"U4","JST-GH","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",125.000000,-114.450000,-90.000000,top
"U5","PIN-HEADER","PinHeader_2x05_P2.54mm_Horizontal",156.940000,-124.300000,-90.000000,top
"U6","STM32C011F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",151.862500,-115.025000,0.000000,top
"Y1","Crystal","NX3215SA-32.768K-STD-MUA-8",144.624400,-111.400000,90.000000,top
