Ref,Val,Package,PosX,PosY,Rot,Side
"C1","7.87uF","R_0402_1005Metric",142.636000,-111.031000,0.000000,top
"C2","-","C_0603_1608Metric",126.200000,-111.375000,90.000000,top
"C3","316nF","R_0402_1005Metric",142.144000,-109.238000,90.000000,top
"C6","1uF","R_0603_1608Metric",121.425000,-108.500000,180.000000,top
"C7","1uF","R_0603_1608Metric",137.200000,-114.450000,90.000000,top
"C8","1uF","R_0603_1608Metric",146.983000,-117.103000,90.000000,top
"C9","1uF","R_0603_1608Metric",126.500000,-114.462500,90.000000,top
"C10","1uF","R_0603_1608Metric",130.470400,-111.785300,-90.000000,top
"C11","1uF","R_0603_1608Metric",141.122000,-114.578000,-90.000000,top
"J2","Conn_01x01_Pin","DIN_Male_1PIN_1.5mm",112.649300,-101.987500,0.000000,top
"J3","Conn_01x03_Pin","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",158.350000,-110.800000,90.000000,top
"J4","Conn_01x01_Pin","DIN_Male_1PIN_1.5mm",149.225000,-102.275000,180.000000,top
"R1","10M","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",121.187500,-117.950000,0.000000,top
"R2","10M","R_0603_1608Metric",124.537500,-117.950000,180.000000,top
"R3","2k","R_0402_1005Metric",118.937500,-113.100000,-90.000000,top
"R4","1k","R_0402_1005Metric",139.609000,-114.654000,90.000000,top
"R5","1k","R_0402_1005Metric",142.636000,-112.126000,0.000000,top
"R6","249k","R_0402_1005Metric",127.600000,-111.375000,90.000000,top
"R8","1k","R_0402_1005Metric",144.865000,-108.727000,180.000000,top
"R9","10k","R_0402_1005Metric",144.873000,-112.004000,0.000000,top
"R10","1k","R_0402_1005Metric",144.366000,-110.448000,-90.000000,top
"R11","1M","R_0603_1608Metric",116.361800,-108.412500,90.000000,top
"R12","10k","R_0402_1005Metric",125.761800,-105.587500,0.000000,top
"U3","LME49726MY","LME49726MY",144.050000,-115.835000,-90.000000,top
"U4","INA326","MSOP-8_3x3mm_P0.65mm",122.904300,-113.200000,90.000000,top
"U5","LME49726MY","LME49726MY",134.000000,-113.075000,-90.000000,top
"VR1","100k","TRIM_3296W-1-104ALF",132.761800,-105.587500,0.000000,top
