Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",115.625000,-69.975000,-90.000000,top
"C2","10uF","C_0805_2012Metric",117.675000,-71.875000,90.000000,top
"C3","1uF","C_0603_1608Metric",112.430000,-72.015000,90.000000,top
"J1","Conn_01x03","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",98.900000,-71.170000,-90.000000,top
"J2","~","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",120.725000,-57.950000,180.000000,top
"R1","7.15k","R_0603_1608Metric",115.825000,-73.625000,-90.000000,top
"R2","1k","R_0603_1608Metric",116.650000,-76.100000,0.000000,top
"R3","10k","R_0402_1005Metric",112.420000,-74.580000,-90.000000,top
"R4","10k","R_0402_1005Metric",103.180000,-74.590000,-90.000000,top
"U2","LT1963AEQ","TO-263-5_TabPin3",129.400000,-71.025000,0.000000,top
"U3","OPA197xD","SOIC-8_3.9x4.9mm_P1.27mm",107.565000,-73.445000,0.000000,top
