Designator,Footprint,Quantity,Value,LCSC Part #
"C11, C12, C2, C6",0402,4,1uF,C52923
C3,0603,1,10uF,C19702
"C4, C8, C9",0402,3,0.1uF,C307331
C5,0402,1,0.1uF,
C7,0603,1,10 µF,C19702
J2,PinHeader_1x12_P2.54mm_Vertical,1,~,C725944
"R1, R2, R3",0402,3,1k,C11702
"R4, R5",0603,2,10k,C25804
"SW1, SW2, SW3",SW_SPDT_Shouhan_MSK12C02,3,SW_Reed_SPDT,C431540
U1,AD7606BSTZ,1,AD7606BSTZ,C398827
U2,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,1,~,C265111
"U3, U4",JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,2,~,C160407
U5,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,~,C189893
VR1,TLV70033DDCR,1,TLV70033DDCR,C11337
