Designator,Mid X,Mid Y,Rotation,Layer
C11,183.6,-92.6325,270.0,top
C12,190.1225,-92.6325,270.0,top
C2,185.41,-87.5,180.0,top
C3,185.8,-83.9,180.0,top
C4,170.2575,-79.525,180.0,top
C5,175.85,-93.8,90.0,top
C6,185.4175,-85.45,180.0,top
C7,185.2,-81.6925,90.0,top
C8,183.5,-79.60625,0.0,top
C9,185.4175,-86.5,180.0,top
J2,142.15,-88.4,0.0,top
R1,167.8,-82.1,0.0,top
R2,167.8,-83.1,0.0,top
R3,167.8,-84.1,0.0,top
R4,168.018,-87.197,180.0,top
R5,168.034,-85.425,180.0,top
SW1,147.635,-98.525,270.0,top
SW2,154.735,-98.55,270.0,top
SW3,161.96,-98.55,270.0,top
U1,176.9,-84.9,0.0,top
U2,176.955,-71.470294,180.0,top
U3,183.7,-101.775,0.0,top
U4,171.75,-101.775,0.0,top
U5,159.98,-71.570294,180.0,top
VR1,186.875,-93.025,0.0,top
