Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6, C7, C9",0603,4,1uF,C15849
C10,0402,1,1uF,C14445
C11,1206,1,10uF,C105197
C12,0402,1,100nF,C110251
"C13, C14",0603,2,12pF,C346206
"C3, C4, C5",0603,3,0.1uF,C14663
"D1, D3, D4",D_SOD-523,3,1N4148WT,C232841
D2,0603,1,BLUE,C282129
J1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60-M,C98732
J2,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,1,XT60-F,C428722
J4,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,Conn_01x03,C514175
"Q1, Q2",TRANS_BSC014N04LSIATMA1,2,BSC014N04LSIATMA1,C2934854
R1,2512,1,5m,C22385263
"R10, R9",0603,2,1M,C22935
R11,0402,1,120k,C93945
R12,0402,1,1k,C11702
"R13, R2, R3, R5, R6, R7, R8",0402,7,100,C106232
R16,0402,1,10k,C60490
"R17, R18, R19",0402,3,4.7k,C25900
R4,0402,1,100k,C25741
"SW1, SW2, SW3",SW_SPST_B3U-3000P,3,SW_Push,C963349
U2,BQ76905RGRR,1,BQ76905RGRR,C22394458
"U3, U4",JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,2,JST-GH,C189893
U5,PinHeader_2x05_P2.54mm_Horizontal,1,PIN-HEADER,C492433
U6,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32C011F6Px,C5456198
Y1,NX3215SA-32.768K-STD-MUA-8,1,YXC X321532768KGD2SI,C620155
