Designator,Mid X,Mid Y,Rotation,Layer
C1,150.65,-97.975,90.0,top
C10,149.025,-95.775,0.0,top
C11,155.5573,-99.035,180.0,top
C12,146.6075,-114.525,270.0,top
C13,141.4119,-110.15,180.0,top
C14,141.4119,-112.65,180.0,top
C3,152.275,-88.1,0.0,top
C4,159.0125,-88.1,180.0,top
C5,155.6375,-88.1,0.0,top
C6,159.3,-92.325,180.0,top
C7,160.075,-94.625,90.0,top
C9,157.9,-96.175,90.0,top
D1,143.115,-94.8,270.0,top
D2,158.3944,-119.37,0.0,top
D3,154.77,-103.01,180.0,top
D4,151.95,-101.12625,270.0,top
J1,171.2,-107.075,270.0,top
J2,127.485,-92.49,90.0,top
J4,181.925,-93.15,90.0,top
Q1,138.275,-82.785,180.0,top
Q2,145.0995,-81.725,90.0,top
R1,155.6789,-80.6832,0.0,top
R10,147.9795,-86.2,180.0,top
R11,143.1195,-91.775,270.0,top
R12,165.23,-120.12,180.0,top
R13,151.95,-98.74,270.0,top
R16,160.93,-118.86,90.0,top
R17,149.7875,-109.95,180.0,top
R18,153.9375,-109.95,0.0,top
R19,159.43,-115.38,180.0,top
R2,156.125,-94.3,0.0,top
R3,156.125,-93.2,0.0,top
R4,144.94,-91.775,270.0,top
R5,155.375,-96.975,0.0,top
R6,154.0025,-85.9664,270.0,top
R7,157.3045,-85.9664,270.0,top
R8,154.96,-101.38,0.0,top
R9,140.23,-78.32,0.0,top
SW1,140.06,-93.81,90.0,top
SW2,141.55,-118.32,0.0,top
SW3,164.07,-117.62,0.0,top
U2,152.85,-94.2,180.0,top
U3,125.0,-106.95,270.0,top
U4,125.0,-114.45,270.0,top
U5,151.86,-125.57,270.0,top
U6,151.8625,-115.025,0.0,top
Y1,144.6244,-111.4,90.0,top
