Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10uF,C6119763
"C10, C11, C6, C7, C8, C9",0603,6,1uF,C15849
C2,0603,1,DNP,
C3,0402,1,330nF,C47118439
J1,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Conn_01x02_Pin,C189893
J2,DIN_Male_1PIN_1.5mm,1,DNP,
J3,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,Conn_01x03_Pin,C514175
R1,0603,1,10M,
"R10, R4, R5, R8",0402,4,1k,C106235
R11,0603,1,1M,C22935
"R12, R9",0402,2,10k,C25744
R2,0603,1,10M,C7250
R3,0402,1,2k,C60488
R6,0402,1,249k,C226368
"U1, U2",EMG_Snap_4mm,2,~,
"U3, U5",LME49726MY,2,LME49726MY,C128880
U4,MSOP-8_3x3mm_P0.65mm,1,INA326,C179740
VR1,Potentiometer_Bourns_3296W_Vertical,1,100k,C48084
