Designator,Mid X,Mid Y,Rotation,Layer
C1,142.636,-111.031,0.0,top
C10,130.4704,-111.7853,270.0,top
C11,141.122,-114.578,270.0,top
C3,142.144,-109.238,90.0,top
C6,121.425,-108.5,180.0,top
C7,137.2,-114.45,90.0,top
C8,146.983,-117.103,90.0,top
C9,126.5,-114.4625,90.0,top
J1,146.9,-100.3,180.0,top
J3,160.725,-110.675,90.0,top
R1,121.1875,-117.95,0.0,top
R10,144.366,-110.448,270.0,top
R11,116.3618,-108.4125,90.0,top
R12,125.7618,-105.5875,0.0,top
R2,124.5375,-117.95,180.0,top
R3,118.9375,-113.1,270.0,top
R4,139.609,-114.654,90.0,top
R5,142.636,-112.126,0.0,top
R6,127.6,-111.375,90.0,top
R8,144.865,-108.727,180.0,top
R9,144.873,-112.004,0.0,top
U1,112.0,-110.55,90.0,bottom
U2,151.457,-110.525,90.0,bottom
U3,144.05,-115.835,270.0,top
U4,122.9043,-113.2,90.0,top
U5,134.0,-113.075,270.0,top
VR1,132.7618,-105.5875,180.0,top
